Date,Day_of_the_week,App,Minutes,Category
8/31,Thursday,YOUTUBE,87,Entertainment
8/31,Thursday,SNAPCHAT,33,Social Media
8/31,Thursday,CLASH_ROYALE,31,Entertainment
8/31,Thursday,SPOTIFY,7,Entertainment
8/31,Thursday,CANVAS_STUDENT,6,Education
8/31,Tuesday,FANTASY,2,Entertainment
9/1,Friday,CLASH_ROYALE,67,Entertainment
9/1,Friday,INSTAGRAM,42,Social Media
9/1,Friday,YOUTUBE,34,Entertainment
9/1,Friday,SAFARI,29,Other
9/1,Friday,CHESS,28,Entertainment
9/1,Friday,WAZE,28,Travel
9/1,Friday,CLASH_OF_CLANS,11,Entertainment
9/1,Friday,SPOTIFY,5,Entertainment
9/1,Friday,CANVAS_STUDENT,4,Education
9/2,Saturday,CLASH_ROYALE,49,Entertainment
9/2,Saturday,SNAPCHAT,32,Social Media
9/2,Saturday,CANVAS_STUDENT,13,Education
9/2,Saturday,YOUTUBE,13,Entertainment
9/2,Saturday,INSTAGRAM,13,Social Media
9/2,Saturday,PHOTOS,5,Other
9/2,Saturday,CLOCK,4,Other
9/2,Saturday,SAFARI,3,Other
9/3,Sunday,CLASH_ROYALE,69,Entertainment
9/3,Sunday,YOUTUBE,66,Entertainment
9/3,Sunday,INSTAGRAM,48,Social Media
9/3,Sunday,SNAPCHAT,36,Social Media
9/3,Sunday,CHESS,31,Entertainment
9/3,Sunday,WAZE,7,Travel
9/3,Sunday,OUTLOOK,6,Other
9/3,Sunday,CLASH_OF_CLANS,6,Entertainment
9/3,Sunday,SPOTIFY,2,Entertainment
9/3,Sunday,CLOCK,2,Other
9/4,Monday,YOUTUBE,299,Entertainment
9/4,Monday,FANTASY,53,Entertainment
9/4,Monday,SNAPCHAT,33,Social Media
9/4,Monday,CLASH_ROYALE,26,Entertainment
9/4,Monday,INSTAGRAM,16,Social Media
9/4,Monday,SAFARI,14,Other
9/4,Monday,SPOTIFY,9,Entertainment
9/4,Monday,PHONE,2,Other
9/4,Monday,CANVAS_STUDENT,2,Other
9/4,Monday,MESSAGES,2,Other
9/5,Tuesday,YOUTUBE,113,Entertainment
9/5,Tuesday,CLASH_ROYALE,53,Entertainment
9/5,Tuesday,SNAPCHAT,31,Social Media
9/5,Tuesday,SAFARI,11,Other
9/5,Tuesday,SPOTIFY,10,Entertainment
9/5,Tuesday,INSTAGRAM,9,Social Media
9/5,Tuesday,CLASH_OF_CLANS,9,Entertainment
9/5,Tuesday,CANVAS_STUDENT,4,Education
9/5,Tuesday,FANTASY,3,Entertainment
9/5,Tuesday,SLEEPER,3,Entertainment
9/5,Tuesday,SETTINGS,3,Other
9/5,Tuesday,SKYVIEW_LITE,2,Education
9/5,Tuesday,OUTLOOK,2,Other
9/5,Tuesday,MESSAGES,2,Other
9/6,Wednesday,YOUTUBE,98,Entertainment
9/6,Wednesday,CLASH_ROYALE,53,Entertainment
9/6,Wednesday,SLEEPER,53,Entertainment
9/6,Wednesday,SNAPCHAT,28,Social Media
9/6,Wednesday,SPOTIFY,14,Entertainment
9/6,Wednesday,CANVAS_STUDENT,8,Education
9/6,Wednesday,INSTAGRAM,6,Social Media
9/6,Wednesday,OUTLOOK,5,Other
9/6,Wednesday,FANTASY,4,Entertainment
9/6,Wednesday,SAFARI,3,Other
9/6,Wednesday,CLASH_OF_CLANS,3,Entertainment
9/6,Wednesday,GMAIL,3,Other
9/7,Thursday,YOUTUBE,75,Entertainment
9/7,Thursday,SETTINGS,21,Other
9/7,Thursday,SNAPCHAT,5,Social Media
9/7,Thursday,CLASH_ROYALE,4,Entertainment
9/7,Thursday,CANVAS_STUDENT,4,Education
9/7,Thursday,SPOTIFY,2,Entertainment
9/7,Thursday,SLEEPER,2,Entertainment
